manufacturer,model,engine_size,fuel_type,year_of_manufacture,mileage,price,car_age,damages
Ford,Mondeo,1.4,Diesel,2019,13464,36345.000000000000,5,PERFECT
Toyota,Prius,1.8,Hybrid,2019,27062,45786.000000000000,5,PERFECT
Ford,Focus,2.0,Petrol,1991,272161,811.300000000000000000,33,SCRATCH
VW,Passat,1.6,Diesel,2018,22122,34802.30000000000000,6,SCRATCH
VW,Polo,1.0,Petrol,2006,127869,3895.950000000000000000,18,SCRATCH
Ford,Focus,2.0,Petrol,2002,180048,3881.700000000000000000,22,SCRATCH
Ford,Mondeo,1.4,Diesel,2021,9434,42423.000000000000,3,PERFECT
VW,Polo,1.6,Petrol,1997,87723,3648.000000000000000000,27,SCRATCH
Ford,Fiesta,1.0,Diesel,2017,38370,15444.15000000000000,7,SCRATCH
Toyota,RAV4,2.2,Petrol,2007,79393,15224.70000000000000,17,SCRATCH
BMW,Z4,2.4,Petrol,1997,103758,6205.400000000000000000,27,SCRATCH
Ford,Fiesta,1.0,Petrol,2002,127300,2920.300000000000000000,22,SCRATCH
VW,Golf,1.2,Diesel,2020,17330,29863.000000000000,4,PERFECT
VW,Passat,1.6,Diesel,1993,176456,2160.300000000000000000,31,SCRATCH
Ford,Focus,2.0,Petrol,1995,91173,4921.950000000000000000,29,SCRATCH
VW,Passat,1.6,Diesel,1991,247911,999.400000000000000000,33,SCRATCH
VW,Passat,1.4,Diesel,2019,31317,34772.000000000000,5,PERFECT
Ford,Focus,1.8,Petrol,1993,279656,819.850000000000000000,31,SCRATCH
Porsche,911,3.5,Petrol,2005,151556,18759.65000000000000,19,SCRATCH
Toyota,Yaris,1.0,Petrol,2007,118788,5040.700000000000000000,17,SCRATCH
VW,Passat,1.8,Petrol,1992,260170,963.30,32,SCRATCH
BMW,Z4,2.0,Petrol,1990,148586,2505.150000000000000000,34,SCRATCH
BMW,X3,2.0,Diesel,2020,18968,52715.000000000000,4,PERFECT
BMW,X3,2.0,Diesel,2021,12180,58449,3,PERFECT
VW,Polo,1.6,Petrol,1991,245602,622.80000000000000000,33,DENT
Toyota,RAV4,2.4,Hybrid,2019,21577,64081.000000000000,5,PERFECT
Toyota,RAV4,2.0,Hybrid,2020,18881,63465.000000000000,4,PERFECT
VW,Passat,2.0,Diesel,2020,15824,48442.000000000000,4,PERFECT
Porsche,Cayenne,4.0,Petrol,2020,13388,99785.000000000000,4,PERFECT
VW,Polo,1.2,Petrol,2020,15003,24269.000000000000,4,PERFECT
Toyota,RAV4,2.4,Hybrid,2020,23471,67781.000000000000,4,PERFECT
Porsche,911,2.2,Petrol,2019,12011,103893.000000000000,5,PERFECT
VW,Passat,1.6,Diesel,2020,16841,43090.000000000000,4,PERFECT
VW,Polo,1.6,Petrol,2020,13754,28212.000000000000,4,PERFECT
VW,Passat,1.6,Diesel,2014,50898,21309.3000000000000,10,DENT
VW,Polo,1.6,Petrol,2010,108111,7090.20000000000000000,14,DENT
VW,Passat,1.6,Diesel,2015,57933,21786.3000000000000,9,DENT
Porsche,Cayenne,2.6,Petrol,2003,143603,9600.3,21,DENT
BMW,X3,2.0,Diesel,2018,27389,39616.2000000000000,6,DENT
VW,Golf,1.4,Diesel,2013,53405,14728.5000000000000,11,DENT
VW,Polo,1.2,Petrol,2001,110779,3303.00000000000000000,23,DENT
Ford,Focus,2.0,Diesel,2013,75451,18137.7000000000000,11,DENT
Ford,Mondeo,1.8,Diesel,1998,69223,6540.30000000000000000,26,DENT
Toyota,Yaris,1.0,Petrol,2001,58770,4894.20000000000000000,23,DENT
VW,Polo,2.0,Petrol,2016,17810,21272.4000000000000,8,DENT
VW,Polo,1.4,Petrol,1984,225099,440.10000000000000000,40,DENT
VW,Polo,1.2,Diesel,2018,37411,17684.1000000000000,6,DENT
VW,Golf,2.0,Petrol,1991,188856,1375.20000000000000000,33,DENT
BMW,Z4,2.2,Petrol,2019,16153,47637.000000000000,5,PERFECT
Ford,Focus,1.0,Diesel,2006,120770,5786.10000000000000000,18,DENT
Toyota,Prius,1.4,Hybrid,2001,152067,4536.00000000000000000,23,DENT
Toyota,RAV4,2.2,Hybrid,2012,91325,22216.5000000000000,12,DENT
Toyota,Prius,1.8,Hybrid,2005,41969,14850.0000000000000,19,DENT
Toyota,Prius,1.8,Hybrid,2021,7338,58229.000000000000,3,PERFECT
VW,Golf,2.0,Petrol,2020,31918,33831.000000000000,4,PERFECT
Porsche,718 Cayman,2.0,Petrol,2019,36263,49027.000000000000,5,PERFECT
Ford,Fiesta,1.4,Petrol,2020,19690,24899.000000000000,4,PERFECT
VW,Golf,1.2,Petrol,2020,21583,27785.000000000000,4,PERFECT
Toyota,Yaris,1.0,Petrol,2019,49607,19131.000000000000,5,PERFECT
BMW,Z4,2.0,Petrol,2021,9435,53787.000000000000,3,PERFECT
Toyota,Yaris,1.0,Petrol,2019,14288,23473.000000000000,5,PERFECT
Ford,Focus,2.0,Diesel,2020,21119,44955.000000000000,4,PERFECT
Ford,Focus,1.8,Petrol,2022,7069,50035.000000000000,2,PERFECT
VW,Passat,1.6,Diesel,2020,15173,43480,4,PERFECT
VW,Passat,2.0,Petrol,2019,15881,43146.000000000000,5,PERFECT
Toyota,Prius,1.4,Hybrid,2020,19944,44913.000000000000,4,PERFECT
Toyota,Prius,1.4,Hybrid,2019,23552,41185.000000000000,5,PERFECT
BMW,Z4,3.0,Petrol,2021,13345,64529.000000000000,3,PERFECT
Ford,Focus,1.8,Petrol,2019,42667,33541.000000000000,5,PERFECT
Porsche,718 Cayman,2.4,Petrol,2020,22120,62250.000000000000,4,PERFECT
Ford,Mondeo,1.4,Diesel,2019,20507,34983.000000000000,5,PERFECT
Toyota,RAV4,2.2,Petrol,2019,31326,48384.000000000000,5,PERFECT
Toyota,Yaris,1.4,Hybrid,2020,15024,35485.000000000000,4,PERFECT
Ford,Focus,1.0,Diesel,2022,7311,39109.000000000000,2,PERFECT
Ford,Focus,1.0,Petrol,2021,7415,34826.000000000000,3,PERFECT
VW,Passat,1.6,Diesel,2019,16205,40450.000000000000,5,PERFECT
Toyota,Yaris,1.4,Petrol,2021,11664,32181.000000000000,3,PERFECT
VW,Golf,1.4,Hybrid,2020,17774,36775.000000000000,4,PERFECT
Ford,Fiesta,1.2,Petrol,2022,5254,28439.000000000000,2,PERFECT
Ford,Mondeo,2.0,Diesel,2019,22036,41461.000000000000,5,PERFECT
Ford,Focus,1.6,Hybrid,2021,11987,51610.000000000000,3,PERFECT
Toyota,Yaris,1.0,Hybrid,2019,31739,25557.000000000000,5,PERFECT
Toyota,RAV4,2.0,Hybrid,2019,33205,54758.000000000000,5,PERFECT
BMW,X3,2.4,Diesel,2019,31766,50267.000000000000,5,PERFECT
BMW,M5,4.4,Petrol,2019,25816,115164.000000000000,5,PERFECT
BMW,X3,3.0,Diesel,2021,11169,71969.000000000000,3,PERFECT
Ford,Fiesta,1.0,Petrol,2020,23935,20554.000000000000,4,PERFECT
Toyota,RAV4,1.8,Hybrid,2022,8206,72830.000000000000,2,PERFECT
VW,Polo,2.0,Petrol,2020,11013,32004.000000000000,4,PERFECT
Ford,Focus,1.4,Diesel,2020,15924,38694.000000000000,4,PERFECT
Ford,Focus,1.6,Diesel,2019,22967,37232.000000000000,5,PERFECT
Ford,Mondeo,1.8,Hybrid,2021,11718,54318.000000000000,3,PERFECT
BMW,X3,2.4,Diesel,2020,17171,58315.000000000000,4,PERFECT
Toyota,Prius,1.0,Hybrid,2020,16606,38656.000000000000,4,PERFECT
VW,Passat,2.0,Diesel,2020,23309,46493.000000000000,4,PERFECT
Ford,Focus,1.4,Petrol,2020,14529,37129.000000000000,4,PERFECT
Toyota,Prius,1.0,Hybrid,2022,5361,46869.000000000000,2,PERFECT
Toyota,Yaris,1.0,Hybrid,2019,44372,23709.000000000000,5,PERFECT
VW,Passat,1.6,Diesel,2022,5874,52173.000000000000,2,PERFECT
Toyota,RAV4,2.0,Hybrid,2020,19696,63182.000000000000,4,PERFECT
VW,Passat,2.0,Diesel,2019,22999,43569.000000000000,5,PERFECT
Ford,Fiesta,1.4,Petrol,2019,37297,21066.000000000000,5,PERFECT
VW,Passat,2.0,Diesel,2019,8379,47142.000000000000,5,PERFECT
